Grid_Nx,Grid_Ny,Num_Particles,Approach,Interp_Time_s,Mover_Time_s,Total_Time_s
250,100,100,Deferred,0.000125,2.9e-05,0.000154
250,100,10000,Deferred,0.001541,0.002744,0.004285
250,100,1000000,Deferred,0.039729,0.076491,0.116219
250,100,100000000,Deferred,3.593057,7.144772,10.737829
250,100,1000000000,Deferred,331.605359,566.071042,897.676401
500,200,100,Deferred,0.000125,8e-06,0.000132
500,200,10000,Deferred,0.000515,0.000721,0.001235
500,200,1000000,Deferred,0.038961,0.070412,0.109373
500,200,100000000,Deferred,3.850982,7.28723,11.138211
500,200,1000000000,Deferred,256.664869,486.677402,743.342271
1000,400,100,Deferred,0.000825,9e-06,0.000834
1000,400,10000,Deferred,0.001545,0.000715,0.00226
1000,400,1000000,Deferred,0.076156,0.071848,0.148003
1000,400,100000000,Deferred,7.416691,7.257567,14.674258
1000,400,1000000000,Deferred,275.070734,485.654458,760.725192
