ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001464,0.000000181
4,0.000001115,0.000000335
8,0.000003471,0.000001378
16,0.000020732,0.000010354
32,0.000101057,0.000065612
64,0.000647086,0.000515533
128,0.004567733,0.004051236
256,0.033931334,0.031744149
512,0.245580262,0.236866026
1024,1.876346353,1.842860588
2048,15.483859519,15.354959992
4096,123.521640974,123.011473911
