ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000003341,0.000001211
4,0.000002477,0.000000301
8,0.000005190,0.000000814
16,0.000013578,0.000004407
32,0.000063068,0.000030797
64,0.000368213,0.000255233
128,0.002251191,0.001790682
256,0.016156197,0.014445731
512,0.124532883,0.117810657
1024,1.005359951,0.977889630
2048,8.101353510,7.991631756
4096,64.005551283,63.559117277
